Temps Sain Incubation Infectes Quarantaine Hopital Morts Retablis Total
122.204 2031.6047875211 0.2092897750 1.0031763510 11.6415238126 2.0521715431 14212.0956703685 86366.9391394502 85787.9043296313
123.213 2031.5823736156 0.1823412069 0.8740882690 10.5417507590 1.8163747224 14212.1138224732 86368.4365398053 85787.8861775267
124.223 2031.5628441305 0.1588640340 0.7616099263 9.5453423929 1.6074043733 14212.1297001620 86369.7828605850 85787.8702998379
125.233 2031.5458278766 0.1384107614 0.6636044329 8.6426468890 1.4222457738 14212.1435918691 86370.9934608910 85787.8564081308
126.243 2031.5310014317 0.1205916531 0.5782097513 7.8249063546 1.2582177091 14212.1557489127 86372.0821258465 85787.8442510872
127.253 2031.5180829935 0.1050672613 0.5038033589 7.0841748505 1.1129363375 14212.1663903532 86373.0612292290 85787.8336096467
128.263 2031.5068270239 0.0915419245 0.4389714504 6.4132438455 0.9842828593 14212.1757072028 86373.9418791611 85787.8242927970
129.273 2031.4970195823 0.0797581098 0.3824820976 5.8055744375 0.8703746058 14212.1838660759 86374.7340486350 85787.8161339240
130.283 2031.4884742594 0.0694914879 0.3332618593 5.2552357344 0.7695392001 14212.1910123550 86375.4466924659 85787.8089876449
131.293 2031.4810286345 0.0605466463 0.2903753968 4.7568488417 0.6802914766 14212.1972729391 86376.0878520933 85787.8027270608
132.303 2031.4745411884 0.0527533575 0.2530077105 4.3055359533 0.6013128739 14212.2027586291 86376.6647495057 85787.7972413708
133.313 2031.4688886135 0.0459633292 0.2204486607 3.8968740856 0.5314330461 14212.2075662004 86377.1838714264 85787.7924337995
134.323 2031.4639634709 0.0400473751 0.1920794782 3.5268530373 0.4696134600 14212.2117802040 86377.6510447779 85787.7882197960
135.333 2031.4596721473 0.0348929511 0.1673610102 3.1918371931 0.4149327705 14212.2154745319 86378.0715043365 85787.7845254680
136.343 2031.4559330767 0.0304020100 0.1458234770 2.8885308257 0.3665737871 14212.2187137799 86378.4499533917 85787.7812862201
137.353 2031.4526751897 0.0264891324 0.1270575476 2.6139465774 0.3238118633 14212.2215544319 86378.7906181406 85787.7784455681
138.363 2031.4498365626 0.0230798997 0.1107065616 2.3653768357 0.2860045560 14212.2240458919 86379.0972964687 85787.7759541080
139.373 2031.4473632408 0.0201094763 0.0964597530 2.1403677389 0.2525824211 14212.2262313826 86379.3734017017 85787.7737686173
140.383 2031.4452082130 0.0175213752 0.0840463449 1.9366955747 0.2230408230 14212.2281487277 86379.6220018516 85787.7718512723
141.393 2031.4433305178 0.0152663824 0.0732304040 1.7523453515 0.1969326472 14212.2298310342 86379.8458548241 85787.7701689657
142.402 2031.4416944651 0.0133016203 0.0638063575 1.5854913476 0.1738618210 14212.2313072874 86380.0474400075 85787.7686927125
143.412 2031.4402689578 0.0115897312 0.0555950863 1.4344794561 0.1534775526 14212.2326028692 86380.2289866170 85787.7673971307
144.422 2031.4390269006 0.0100981668 0.0484405209 1.2978111618 0.1354692110 14212.2337400112 86380.3924991311 85787.7662599887
145.432 2031.4379446851 0.0087985688 0.0422066758 1.1741290019 0.1195617774 14212.2347381889 86380.5397801208 85787.7652618110
146.442 2031.4370017413 0.0076662295 0.0367750647 1.0622033728 0.1055118045 14212.2356144674 86380.6724507413 85787.7643855325
147.452 2031.4361801460 0.0066796214 0.0320424490 0.9609205620 0.0931038284 14212.2363838019 86380.7919691269 85787.7636161979
148.462 2031.4354642828 0.0058199881 0.0279188755 0.8692718905 0.0821471834 14212.2370593014 86380.8996469065 85787.7629406984
149.472 2031.4348405450 0.0050709876 0.0243259668 0.7863438649 0.0724731750 14212.2376524580 86380.9966640314 85787.7623475419
150.482 2031.4342970768 0.0044183811 0.0211954319 0.7113092454 0.0639325710 14212.2381733483 86381.0840820920 85787.7618266515
151.492 2031.4338235483 0.0038497626 0.0184677678 0.6434189466 0.0563933767 14212.2386308091 86381.1628562766 85787.7613691907
152.502 2031.4334109588 0.0033543228 0.0160911291 0.5819946926 0.0497388605 14212.2390325909 86381.2338461118 85787.7609674089
153.512 2031.4330514660 0.0029226438 0.0140203422 0.5264223581 0.0438658045 14212.2393854926 86381.2978251120 85787.7606145073
